iteration k,v1*vk,relative residual
0,3.90963e-16,0.9878
1,-7.55917e-15,0.987203
2,-4.44289e-14,0.952289
3,-6.72487e-15,0.594092
4,4.74122e-15,0.196654
5,-9.30571e-16,0.19164
6,-1.28017e-16,0.142815
7,-4.80298e-15,0.10776
8,-7.24336e-15,0.0885432
9,-2.24224e-15,0.0782485
10,1.52092e-15,0.0762742
11,1.50956e-15,0.0436253
12,-9.31438e-16,0.0397936
13,3.17519e-15,0.0394037
14,3.01029e-16,0.0376478
15,-7.04027e-16,0.0372158
16,-5.26678e-15,0.0246169
17,1.29378e-15,0.0237632
18,-5.6855e-15,0.0234565
19,-5.06804e-15,0.0226067
20,-1.33305e-15,0.0220294
21,-2.75366e-15,0.0178806
22,6.24067e-16,0.0177745
23,5.49344e-15,0.0172039
24,1.71919e-15,0.0140185
25,-1.98639e-16,0.0125382
26,3.18268e-16,0.00989064
27,3.85222e-15,0.00982983
28,2.68416e-15,0.00967387
29,-5.48736e-15,0.00905046
30,-1.96512e-15,0.00895854
31,2.94225e-15,0.0086939
32,-3.27928e-15,0.00867001
33,1.46194e-14,0.00786392
34,6.34136e-16,0.00608379
35,3.29143e-15,0.00588321
36,-3.63641e-16,0.00536367
37,-5.49365e-16,0.00533729
38,-4.85723e-15,0.00483388
39,-7.83834e-16,0.00438929
40,-7.99545e-16,0.00433686
41,-4.74723e-15,0.00424275
42,-3.71728e-15,0.0041998
43,-1.83825e-15,0.00369381
44,9.78445e-16,0.00360614
45,-1.98409e-15,0.00355367
46,-2.04968e-15,0.00338632
47,-9.33525e-16,0.00324036
48,4.09167e-15,0.00266109
49,1.06704e-15,0.00263407
50,5.99322e-15,0.00261281
51,3.01325e-15,0.00225938
52,-6.23603e-17,0.00215925
53,8.73851e-15,0.00199492
54,-1.43494e-16,0.00194591
55,-4.22649e-16,0.00189323
56,4.3631e-15,0.00156371
57,2.01675e-16,0.00154262
58,1.63328e-16,0.00152129
59,2.15187e-15,0.00151362
60,-6.54197e-15,0.00142504
61,-1.60137e-15,0.00131961
62,9.25367e-16,0.00130123
63,4.08918e-15,0.00126251
64,2.42958e-15,0.00124058
65,-3.54639e-15,0.00103674
66,1.4606e-15,0.000981453
67,3.90931e-15,0.000967428
68,-5.65527e-15,0.000898121
69,4.97019e-16,0.000872083
70,3.46495e-15,0.000782183
71,-2.03591e-15,0.000759757
72,6.26826e-15,0.00075259
73,-2.0027e-14,0.000680566
74,-1.70491e-17,0.000667487
75,1.50319e-15,0.000637618
76,-3.66948e-16,0.000634627
77,3.50771e-15,0.000631842
78,4.91775e-15,0.000578447
79,-3.56513e-16,0.000567342
80,-1.11531e-15,0.000553405
81,-9.66917e-16,0.000551085
82,4.98541e-15,0.000536791
83,-6.29687e-15,0.000429645
84,-3.7285e-16,0.000417236
85,3.24878e-15,0.000403498
86,-1.15184e-15,0.000400031
87,-1.13716e-14,0.00038301
88,-1.19712e-15,0.00036391
89,2.21719e-16,0.000359756
90,-1.76296e-14,0.000344248
91,1.86759e-15,0.000332444
92,2.87782e-15,0.000306337
93,2.51193e-15,0.000292621
94,2.02594e-15,0.000291293
95,2.17369e-14,0.000266741
96,1.0349e-15,0.000256705
97,3.95067e-15,0.000237952
98,-1.44079e-15,0.000234091
99,-1.45362e-15,0.0002331
100,8.47024e-16,0.000202398
101,3.4953e-16,0.000198264
102,6.86839e-15,0.000191366
103,2.14564e-15,0.000189461
104,2.68183e-15,0.000185654
105,5.60812e-16,0.000158828
106,1.05113e-15,0.000156332
107,3.03289e-15,0.000153402
108,-3.06865e-15,0.000151295
109,3.21971e-15,0.000146008
110,1.22171e-14,0.000120784
111,7.02577e-16,0.000119313
112,-2.23607e-14,0.000115855
113,2.28832e-15,0.000114097
114,1.97173e-15,0.000107565
115,-3.12792e-16,9.75686e-05
116,1.06751e-15,9.61367e-05
117,1.95883e-14,8.63473e-05
118,5.86526e-16,8.3494e-05
119,-1.19856e-15,7.83108e-05
120,3.13261e-15,7.56174e-05
121,1.03867e-16,7.46351e-05
122,-2.58619e-14,5.80489e-05
123,2.25155e-16,5.64052e-05
124,3.85337e-15,5.54298e-05
125,-3.49571e-15,5.47706e-05
126,4.03853e-15,5.44146e-05
127,8.2807e-15,4.94826e-05
128,6.47709e-16,4.90012e-05
129,1.12814e-14,4.80473e-05
130,-2.20239e-15,4.68179e-05
131,-1.84084e-15,4.55924e-05
132,-4.69901e-15,3.65657e-05
133,-1.51788e-18,3.61913e-05
134,-2.22951e-15,3.51805e-05
135,-4.75856e-16,3.40794e-05
136,-5.59774e-16,3.31661e-05
137,-1.08933e-15,3.17335e-05
138,1.61156e-15,3.15788e-05
139,4.03499e-14,2.91557e-05
140,-2.35055e-16,2.73231e-05
141,2.60381e-15,2.58562e-05
142,2.66227e-15,2.50018e-05
143,4.1552e-17,2.4846e-05
144,-4.27498e-14,2.22971e-05
145,1.16655e-15,2.06132e-05
146,1.43353e-15,1.94605e-05
147,-4.835e-16,1.87377e-05
148,-2.38693e-15,1.85033e-05
149,9.39248e-15,1.39148e-05
150,3.08672e-16,1.36063e-05
151,-3.57136e-16,1.33727e-05
152,-2.12727e-16,1.29049e-05
153,2.25558e-15,1.2563e-05
154,2.73658e-15,1.08473e-05
155,7.68699e-16,1.07149e-05
156,-8.42783e-15,1.05322e-05
157,5.93579e-15,9.96255e-06
158,1.89508e-15,9.53782e-06
159,-6.9879e-15,8.34772e-06
160,-1.00587e-15,8.27883e-06
161,-5.62266e-15,7.7492e-06
162,5.38225e-16,7.25038e-06
163,-3.86898e-15,7.08064e-06
164,4.06305e-15,6.87654e-06
165,-5.88342e-16,6.83883e-06
166,2.57249e-14,6.12041e-06
167,-5.48661e-16,5.75762e-06
168,-3.13811e-15,5.69258e-06
169,-7.58969e-16,5.56736e-06
170,-1.00628e-15,5.53024e-06
171,2.91298e-16,4.84217e-06
172,-1.16996e-15,4.73153e-06
173,1.13887e-14,4.67718e-06
174,9.75115e-15,4.59825e-06
175,-4.21755e-17,4.55183e-06
176,1.06793e-14,3.92824e-06
177,-7.49888e-16,3.88557e-06
178,5.173e-17,3.82314e-06
179,-9.39461e-16,3.58806e-06
180,6.66784e-16,3.43453e-06
181,-9.2374e-16,3.04598e-06
182,-1.65558e-15,3.0225e-06
183,-3.55011e-15,2.97778e-06
184,-3.19514e-16,2.67612e-06
185,-7.68293e-16,2.52619e-06
186,7.3021e-16,2.20442e-06
187,4.82605e-16,2.17874e-06
188,2.01991e-14,2.09013e-06
189,3.56757e-15,1.88685e-06
190,-2.83223e-15,1.8734e-06
191,4.44747e-15,1.84836e-06
192,-2.14383e-15,1.84003e-06
193,-1.13501e-14,1.71465e-06
194,-1.69331e-15,1.6577e-06
195,5.17319e-15,1.64155e-06
196,-3.66947e-15,1.59523e-06
197,-3.44061e-15,1.55938e-06
198,1.44595e-15,1.34389e-06
199,1.21991e-15,1.32657e-06
200,-1.01718e-15,1.31827e-06
201,3.16284e-14,1.28569e-06
202,1.01105e-15,1.26097e-06
203,-4.85027e-15,1.13512e-06
204,1.86625e-16,1.11861e-06
205,1.62772e-15,1.10586e-06
206,-8.68457e-15,9.92529e-07
207,1.41624e-16,9.48236e-07
208,8.29496e-16,8.48405e-07
209,3.14205e-15,8.40855e-07
210,7.03648e-15,8.18177e-07
211,1.07116e-15,7.00247e-07
212,-3.64509e-16,6.85265e-07
213,-1.2023e-15,6.64224e-07
214,-3.59916e-16,6.60684e-07
215,-2.21524e-14,6.23456e-07
216,-1.93594e-15,5.501e-07
217,1.14194e-15,5.44241e-07
218,4.04254e-15,5.34432e-07
219,-1.37118e-15,5.30776e-07
220,8.32601e-15,5.03754e-07
221,-1.25915e-15,4.80887e-07
222,4.03582e-15,4.78469e-07
223,-2.62206e-15,4.5692e-07
224,3.55119e-16,4.42125e-07
225,2.57013e-15,4.00319e-07
226,2.40143e-15,3.94224e-07
227,-4.79001e-16,3.91695e-07
228,-3.47586e-15,3.51679e-07
229,9.69521e-16,3.40258e-07
230,-1.01643e-15,3.24725e-07
231,4.52754e-15,3.22889e-07
232,-1.8878e-15,3.20674e-07
233,-7.67013e-15,2.77687e-07
234,1.03219e-16,2.69503e-07
235,1.36915e-15,2.56836e-07
236,4.0747e-16,2.55422e-07
237,2.62702e-15,2.52379e-07
238,1.33428e-14,2.21061e-07
239,5.33048e-16,2.19679e-07
240,-8.53511e-16,2.147e-07
241,8.41883e-17,2.12253e-07
242,-6.4661e-15,2.00323e-07
243,-1.12234e-14,1.73652e-07
244,-1.36867e-15,1.71946e-07
245,-1.01243e-14,1.62839e-07
246,-1.60076e-15,1.55753e-07
247,-6.12486e-15,1.38674e-07
248,2.75208e-15,1.33342e-07
249,-2.75952e-15,1.32771e-07
250,9.35281e-15,1.20237e-07
251,-2.15417e-16,1.16235e-07
252,6.34082e-16,1.11476e-07
253,3.63203e-15,1.10489e-07
254,-1.09697e-15,1.10089e-07
255,2.21472e-14,9.48621e-08
256,9.41196e-16,9.30208e-08
257,-4.92902e-15,9.07556e-08
258,9.73898e-16,8.9438e-08
259,2.09159e-15,8.80343e-08
260,5.87333e-16,7.11397e-08
261,2.02339e-16,7.03192e-08
262,-4.07606e-15,6.79005e-08
263,1.77701e-15,6.56276e-08
264,7.64135e-15,6.11877e-08
265,-4.89464e-15,4.94715e-08
266,-5.85754e-16,4.92369e-08
267,5.62912e-15,4.85828e-08
268,4.1333e-15,4.77764e-08
269,2.91799e-15,4.55784e-08
270,-6.67198e-15,3.18671e-08
271,-7.08255e-16,3.13858e-08
272,-5.21035e-15,2.98284e-08
273,9.65531e-16,2.89738e-08
274,2.38161e-15,2.75585e-08
275,-7.33896e-16,2.60827e-08
276,7.25657e-16,2.59915e-08
277,-5.59015e-16,2.41334e-08
278,2.45516e-15,2.25534e-08
279,-3.27733e-15,2.06744e-08
280,3.07518e-15,1.95358e-08
281,-4.22839e-16,1.94431e-08
282,1.17419e-14,1.69465e-08
283,-2.57281e-16,1.64828e-08
284,-1.75184e-15,1.61874e-08
285,6.99484e-15,1.58767e-08
286,6.89157e-15,1.5734e-08
287,4.80535e-15,1.30338e-08
288,-1.80867e-15,1.2915e-08
289,1.00896e-15,1.27125e-08
290,3.52436e-15,1.24418e-08
291,-2.73674e-15,1.19551e-08
292,-1.02312e-14,9.68243e-09
293,-1.29161e-15,9.64331e-09
294,-1.39813e-15,9.34896e-09
295,2.75442e-15,9.00895e-09
296,-2.14016e-15,8.61749e-09
297,-4.16382e-15,7.90152e-09
