Iteration #,Relative Residual
1,4.52415e-05
2,4.51539e-05
3,4.49405e-05
4,4.33459e-05
5,3.25144e-05
6,1.19744e-05
7,1.04427e-05
8,5.03296e-06
9,4.54585e-06
10,4.39524e-06
11,4.36782e-06
12,3.56587e-06
13,2.11186e-06
14,2.00185e-06
15,1.65803e-06
16,1.41082e-06
17,1.32256e-06
18,1.07238e-06
19,1.0328e-06
20,9.99165e-07
21,9.90015e-07
22,9.88592e-07
23,9.51339e-07
24,8.90758e-07
25,8.22775e-07
26,8.00267e-07
27,7.7146e-07
28,7.43907e-07
29,7.30091e-07
30,7.26969e-07
31,7.26936e-07
32,7.25151e-07
33,7.16146e-07
34,7.02748e-07
35,6.83339e-07
36,6.47848e-07
37,6.39181e-07
38,5.51204e-07
39,5.36616e-07
40,5.18404e-07
41,5.17318e-07
42,5.04899e-07
43,4.99962e-07
44,4.76863e-07
45,4.66974e-07
46,4.51516e-07
47,4.43616e-07
48,4.10537e-07
49,4.0695e-07
50,3.99492e-07
51,3.99223e-07
52,3.93055e-07
53,3.72676e-07
54,3.70967e-07
55,3.63956e-07
56,3.41748e-07
57,3.29152e-07
58,2.89424e-07
59,2.62969e-07
60,2.4543e-07
61,2.43041e-07
62,2.33463e-07
63,2.29381e-07
64,2.16443e-07
65,2.1098e-07
66,2.06555e-07
67,2.03494e-07
68,1.95749e-07
69,1.94861e-07
70,1.90598e-07
71,1.90202e-07
72,1.90067e-07
73,1.85851e-07
74,1.84075e-07
75,1.80741e-07
76,1.65019e-07
77,1.31444e-07
78,1.13888e-07
79,1.04369e-07
80,1.01812e-07
81,1.01592e-07
82,9.68998e-08
83,8.15466e-08
84,8.03309e-08
85,4.82765e-08
86,4.06771e-08
87,3.89568e-08
88,3.56833e-08
89,3.50126e-08
90,3.47171e-08
91,3.47101e-08
92,3.46006e-08
93,3.38633e-08
94,3.3577e-08
95,3.29602e-08
96,3.21095e-08
97,3.20968e-08
98,3.07493e-08
99,2.98137e-08
100,2.67295e-08
101,2.59425e-08
102,2.53892e-08
103,2.45443e-08
104,2.45367e-08
105,2.36768e-08
106,2.29266e-08
107,2.28996e-08
108,2.11503e-08
109,1.9277e-08
110,1.88701e-08
111,1.86775e-08
112,1.8488e-08
113,1.6687e-08
114,1.653e-08
115,1.60337e-08
116,1.54388e-08
117,1.54026e-08
118,1.50195e-08
119,1.47155e-08
120,1.46791e-08
121,1.46611e-08
122,1.46357e-08
123,1.44384e-08
124,1.43533e-08
125,1.38951e-08
126,1.32189e-08
127,1.31145e-08
128,1.14998e-08
129,1.03736e-08
130,9.37747e-09
