Iteration #,Relative Residual
1,2.31077e-05
2,2.30938e-05
3,2.2277e-05
4,1.38977e-05
5,4.60035e-06
6,4.48306e-06
7,3.34089e-06
8,2.52083e-06
9,2.0713e-06
10,1.83048e-06
11,1.78429e-06
12,1.02053e-06
13,9.30897e-07
14,9.21775e-07
15,8.807e-07
16,8.70594e-07
17,5.75866e-07
18,5.55896e-07
19,5.48722e-07
20,5.28842e-07
21,5.15336e-07
22,4.18284e-07
23,4.15801e-07
24,4.02453e-07
25,3.27936e-07
26,2.93307e-07
27,2.31373e-07
28,2.2995e-07
29,2.26302e-07
30,2.11718e-07
31,2.11475e-07
32,2.10115e-07
33,2.06317e-07
34,2.04039e-07
35,1.86641e-07
36,1.80406e-07
37,1.77335e-07
38,1.74776e-07
39,1.73201e-07
40,1.59723e-07
41,1.58443e-07
42,1.57169e-07
43,1.54656e-07
44,1.51225e-07
45,1.39723e-07
46,1.39028e-07
47,1.35151e-07
48,1.22157e-07
49,1.10183e-07
50,8.80885e-08
51,8.63343e-08
52,8.19581e-08
53,7.12445e-08
54,6.69777e-08
55,6.36538e-08
56,6.27323e-08
57,5.4331e-08
58,5.21497e-08
59,5.20084e-08
60,5.14787e-08
61,5.14618e-08
62,5.14566e-08
63,5.12978e-08
64,4.90409e-08
65,4.70003e-08
66,4.6623e-08
67,4.58675e-08
68,4.4069e-08
69,4.30084e-08
70,4.1828e-08
71,4.16151e-08
72,4.00372e-08
73,3.7239e-08
74,3.65271e-08
75,3.60524e-08
76,3.57473e-08
77,3.25637e-08
78,3.13122e-08
79,3.11374e-08
80,3.09357e-08
81,3.04289e-08
82,2.6994e-08
83,2.62151e-08
84,2.60339e-08
85,2.55497e-08
86,2.4394e-08
87,2.17096e-08
88,2.11071e-08
89,2.09163e-08
90,1.98707e-08
91,1.95023e-08
92,1.94582e-08
93,1.9447e-08
94,1.88236e-08
95,1.77883e-08
96,1.76829e-08
97,1.76555e-08
98,1.73689e-08
99,1.66428e-08
100,1.57862e-08
101,1.57412e-08
102,1.54632e-08
103,1.50922e-08
104,1.47909e-08
105,1.41732e-08
106,1.41518e-08
107,1.35199e-08
108,1.26742e-08
109,1.22583e-08
110,1.20473e-08
111,1.19192e-08
112,1.14554e-08
113,1.12331e-08
114,1.11343e-08
115,1.1087e-08
116,1.10402e-08
117,1.06059e-08
118,1.05558e-08
119,1.04961e-08
120,1.04356e-08
121,1.04315e-08
122,1.04227e-08
123,1.03565e-08
124,1.02905e-08
125,9.95843e-09
126,9.80845e-09
127,9.75552e-09
128,9.58173e-09
129,9.49737e-09
130,8.76274e-09
131,8.65355e-09
132,8.48518e-09
133,8.01373e-09
134,7.85842e-09
135,7.35814e-09
136,7.29216e-09
137,6.82547e-09
138,5.88742e-09
139,5.62012e-09
140,5.38791e-09
141,5.33226e-09
142,4.77082e-09
143,4.37226e-09
144,4.2414e-09
145,4.14854e-09
146,4.11571e-09
147,3.72371e-09
148,3.60348e-09
149,3.56294e-09
150,3.4076e-09
