Iteration #,Relative Residual
1,0.995122
2,0.994862
3,0.993635
4,0.968119
5,0.943395
6,0.903534
7,0.878083
8,0.863346
9,0.830016
10,0.828582
11,0.826934
12,0.826445
13,0.815659
14,0.812232
15,0.794887
16,0.790454
17,0.778855
18,0.759335
19,0.745312
20,0.727608
21,0.715741
22,0.707831
23,0.702967
24,0.693112
25,0.678388
26,0.656416
27,0.644461
28,0.64152
29,0.634416
30,0.632214
31,0.632171
32,0.632093
33,0.631948
34,0.631231
35,0.630581
36,0.628428
37,0.626733
38,0.624572
39,0.61947
40,0.617099
41,0.614253
42,0.612013
43,0.606745
44,0.601352
45,0.596487
46,0.592048
47,0.585141
48,0.573757
49,0.572051
50,0.571977
51,0.571853
52,0.56988
53,0.569465
54,0.56518
55,0.561267
56,0.557448
57,0.55432
58,0.543393
59,0.535766
60,0.522556
61,0.522351
62,0.52167
63,0.521198
64,0.520666
65,0.520371
66,0.52018
67,0.520151
68,0.519395
69,0.517044
70,0.514426
71,0.509522
72,0.504022
73,0.501117
74,0.493538
75,0.491591
76,0.490277
77,0.489588
78,0.489049
79,0.486082
80,0.484073
81,0.479514
82,0.478599
83,0.477767
84,0.47679
85,0.476212
86,0.473053
87,0.462641
88,0.451052
89,0.441963
90,0.438946
91,0.438895
92,0.438749
93,0.438504
94,0.438127
95,0.437926
96,0.437333
97,0.437078
98,0.436344
99,0.43496
100,0.433562
101,0.428757
102,0.423208
103,0.419364
104,0.416699
105,0.416085
106,0.415078
107,0.413403
108,0.410627
109,0.408503
110,0.408476
111,0.408351
112,0.407881
113,0.40749
114,0.40681
115,0.404229
116,0.404004
117,0.40188
118,0.400528
119,0.398345
120,0.393542
121,0.392861
122,0.391808
123,0.39159
124,0.391402
125,0.391401
126,0.391372
127,0.391178
128,0.390661
129,0.390478
130,0.390043
131,0.389771
132,0.389534
133,0.389193
134,0.38549
135,0.382509
136,0.38074
137,0.379925
138,0.37856
139,0.375704
140,0.371242
141,0.368029
142,0.366683
143,0.366166
144,0.365656
145,0.365516
146,0.361964
147,0.355738
148,0.352785
149,0.349162
150,0.339437
151,0.338477
152,0.336482
153,0.334898
154,0.334089
155,0.333932
156,0.333903
157,0.333901
158,0.332865
159,0.331581
160,0.330931
161,0.32882
162,0.326568
163,0.324663
164,0.321334
165,0.320064
166,0.318883
167,0.31826
168,0.315357
169,0.312934
170,0.312932
171,0.312916
172,0.312873
173,0.312239
174,0.309646
175,0.306254
176,0.305405
177,0.304996
178,0.304426
179,0.304057
180,0.303252
181,0.303204
182,0.303156
183,0.303152
184,0.303145
185,0.303099
186,0.302988
187,0.302944
188,0.302779
189,0.302649
190,0.30257
191,0.302397
192,0.301994
193,0.301522
194,0.300111
195,0.298851
196,0.296853
197,0.295101
198,0.292167
199,0.28876
200,0.286615
201,0.283516
202,0.282122
203,0.281157
204,0.279078
205,0.274486
206,0.272504
207,0.270613
208,0.269961
209,0.266746
210,0.260856
211,0.260696
212,0.25989
213,0.259017
214,0.258349
215,0.258006
216,0.257449
217,0.257222
218,0.255979
219,0.255709
220,0.255177
221,0.252599
222,0.249728
223,0.24784
224,0.244996
225,0.242561
226,0.24094
227,0.239742
228,0.237512
229,0.235804
230,0.235547
231,0.235457
232,0.235442
233,0.235339
234,0.234861
235,0.233314
236,0.232
237,0.230963
238,0.230368
239,0.230053
240,0.229383
241,0.22936
242,0.229335
243,0.229329
244,0.229315
245,0.229297
246,0.229203
247,0.229092
248,0.228944
249,0.228828
250,0.228665
251,0.228408
252,0.228034
253,0.227271
254,0.226343
255,0.225201
256,0.224372
257,0.221837
258,0.218629
259,0.216249
