Iteration #,Residual (2-norm),Residual (A-norm)
200,40.3012,7.98543
400,6.2417,2.5753
600,5.5132,1.34006
800,1.31796,0.901315
1000,1.04744,0.784574
1200,0.987564,0.712073
1400,0.735754,0.671773
1600,0.611964,0.582635
1800,1.10809,0.490012
2000,0.563884,0.445391
2200,0.611984,0.399111
2400,0.507015,0.347094
2600,0.926121,0.238535
2800,0.310154,0.174477
3000,0.152498,0.148524
3200,0.0982447,0.139861
3400,0.0803161,0.135419
3600,0.043271,0.132294
3800,0.082161,0.129413
4000,0.17023,0.123884
4200,0.161824,0.116587
4400,0.235707,0.106967
4600,0.11596,0.099236
4800,0.0641011,0.0965346
5000,0.0514081,0.0944507
5200,0.086202,0.0923914
5400,0.037969,0.0908007
5600,0.0859957,0.0886214
5800,0.0480395,0.086318
6000,0.0445941,0.0840264
6200,0.0723738,0.0822155
6400,0.0638147,0.0800184
6600,0.191264,0.0720216
6800,0.0646058,0.0642258
7000,0.0161431,0.0621577
7200,0.0124524,0.0615625
7400,0.0613347,0.0610471
7600,0.036499,0.058806
7800,0.130845,0.0552201
8000,0.0632086,0.0528173
8200,0.00847354,0.0524081
8400,0.0122447,0.0522444
8600,0.0185187,0.0518305
8800,0.0792834,0.0499102
9000,0.0355107,0.0448896
9200,0.026891,0.041956
9400,0.00655404,0.0417083
9600,0.00957492,0.0415861
9800,0.0448658,0.0408844
10000,0.0675189,0.0379698
10200,0.0182945,0.0351624
10400,0.0143053,0.0343838
10600,0.00507326,0.03426
10800,0.036136,0.034008
11000,0.0324584,0.0322256
11200,0.0392812,0.029475
11400,0.00479584,0.0288123
11600,0.00698379,0.028709
11800,0.0129047,0.0285939
12000,0.0169985,0.0280059
12200,0.0148761,0.0267298
12400,0.00849668,0.026379
12600,0.00577553,0.0263068
12800,0.00499838,0.0262742
13000,0.0104023,0.0260811
13200,0.0231524,0.0253379
13400,0.0108936,0.0249225
13600,0.00197211,0.0248383
13800,0.00506591,0.0248093
14000,0.0109534,0.0246805
14200,0.0131006,0.0241416
14400,0.0114193,0.0235278
14600,0.00469826,0.0234279
14800,0.00232716,0.0234056
15000,0.00891603,0.0233558
15200,0.0131349,0.0230431
15400,0.0119371,0.022543
15600,0.00546438,0.0224167
15800,0.00253371,0.0223971
16000,0.00337225,0.0223607
16200,0.0174327,0.0221648
16400,0.0142461,0.0215423
16600,0.00726019,0.0212248
16800,0.00607837,0.0211856
17000,0.00454832,0.0211462
17200,0.00911669,0.020941
17400,0.00862755,0.020257
17600,0.00788087,0.0199646
17800,0.00567609,0.0197741
18000,0.00260547,0.019683
18200,0.00725352,0.0196409
18400,0.00588107,0.0195933
18600,0.0185226,0.0194899
18800,0.0105202,0.0193418
19000,0.00742076,0.0190901
19200,0.0145161,0.0185661
19400,0.00697132,0.018397
19600,0.00633384,0.0183593
19800,0.00435884,0.0183192
20000,0.00577982,0.0182799
20200,0.00634152,0.0182277
20400,0.00953574,0.0180657
20600,0.00888254,0.0176322
20800,0.00268605,0.0174687
21000,0.00325427,0.0174272
21200,0.00173562,0.0174009
21400,0.00340705,0.0173638
21600,0.00538334,0.0173004
21800,0.0099063,0.016973
22000,0.00581386,0.0167191
22200,0.00303117,0.016666
22400,0.00420514,0.0166194
22600,0.00374093,0.0165279
22800,0.00303141,0.0164786
23000,0.0018415,0.0164577
23200,0.0101815,0.0164
23400,0.0121066,0.0161768
23600,0.00363056,0.0159516
23800,0.0031279,0.0159011
24000,0.00313343,0.0158871
24200,0.00738641,0.0158531
24400,0.00719649,0.0157602
24600,0.00564284,0.0156451
24800,0.00432937,0.015547
25000,0.00454477,0.0154959
25200,0.00814185,0.0153865
25400,0.0088026,0.0152266
25600,0.00391082,0.0151297
25800,0.00209209,0.0151167
26000,0.00278486,0.0150954
26200,0.00822585,0.0149255
26400,0.00796849,0.0147326
26600,0.00135417,0.0146488
26800,0.00124641,0.0146387
27000,0.00183573,0.0146264
27200,0.00569299,0.0145637
27400,0.00516922,0.0143891
27600,0.00733519,0.0142616
27800,0.00134146,0.0142211
28000,0.00084152,0.0142103
28200,0.00305691,0.0142004
28400,0.00765072,0.014102
28600,0.00811867,0.0139077
28800,0.00340864,0.0138529
29000,0.000563771,0.0138374
29200,0.00339714,0.0138277
29400,0.00371714,0.0137644
29600,0.0042513,0.0135318
29800,0.0020158,0.0134593
30000,0.000897949,0.0134415
30200,0.00271856,0.0134342
30400,0.00492829,0.0133882
30600,0.00242444,0.0132656
30800,0.00433354,0.0131703
31000,0.00142095,0.0131516
31200,0.00169593,0.0131465
31400,0.00172742,0.0131313
31600,0.00396996,0.0130804
31800,0.00573169,0.0129584
32000,0.00109952,0.0129029
32200,0.0013185,0.0128967
32400,0.000855723,0.0128919
32600,0.00170315,0.012863
32800,0.0040054,0.0127327
33000,0.00217883,0.0126424
33200,0.00133822,0.0126283
33400,0.00152489,0.0126198
33600,0.00149657,0.0126042
33800,0.00162024,0.0125855
34000,0.00607927,0.0125497
34200,0.00776955,0.0124424
34400,0.00410918,0.0123778
34600,0.00158681,0.0123481
34800,0.00265265,0.0123321
35000,0.000886483,0.0123243
35200,0.000688419,0.0123184
35400,0.00145166,0.0123017
35600,0.00341388,0.0122409
35800,0.00210467,0.0121843
