iteration k,v1*vk,relative residual
0,2.11419e-17,0.995122
1,2.00142e-15,0.994862
2,1.33446e-15,0.993635
3,-4.60745e-16,0.968119
4,-8.63282e-15,0.943395
5,-1.70399e-15,0.903534
6,-5.21149e-16,0.878083
7,1.28447e-15,0.863346
8,-1.98016e-15,0.830016
9,1.87077e-15,0.828582
10,1.21718e-15,0.826934
11,6.47511e-15,0.826445
12,-9.60061e-17,0.815659
13,5.01308e-17,0.812232
14,-1.04132e-15,0.794887
15,4.92634e-18,0.790454
16,-2.20092e-15,0.778855
17,5.39858e-16,0.759335
18,-1.11524e-16,0.745312
19,1.09647e-15,0.727608
20,-4.83459e-16,0.715741
21,4.85809e-15,0.707831
22,-1.17578e-16,0.702967
23,-1.65968e-16,0.693112
24,-1.96983e-15,0.678388
25,5.77338e-18,0.656416
26,-1.34812e-15,0.644461
27,-5.31124e-17,0.64152
28,-3.04609e-15,0.634416
29,-2.13398e-16,0.632214
30,-1.43554e-15,0.628454
31,1.90126e-15,0.621731
32,4.67616e-16,0.611442
33,6.30464e-16,0.606469
34,1.56949e-15,0.571857
35,1.75391e-15,0.555473
36,-2.28863e-15,0.534813
37,-8.85685e-16,0.524954
38,-1.27209e-15,0.513818
39,-8.79342e-16,0.5134
40,8.08381e-16,0.513394
41,5.06539e-16,0.510353
42,-3.05311e-16,0.476887
43,-2.43512e-16,0.447129
44,2.38351e-15,0.439023
45,-2.54137e-16,0.432822
46,-8.67795e-16,0.42967
47,-6.41848e-17,0.423756
48,-5.08491e-16,0.416745
49,-1.00354e-15,0.412529
50,-1.25659e-15,0.406857
51,-1.03769e-15,0.404653
52,1.21897e-15,0.403234
53,-2.6916e-16,0.402962
54,3.23618e-15,0.401142
55,1.68152e-15,0.39507
56,-3.67545e-16,0.389278
57,3.8706e-16,0.379903
58,1.22081e-16,0.368904
59,-1.33574e-16,0.356276
60,-5.08491e-16,0.351126
61,-5.69857e-16,0.347086
62,1.39992e-15,0.345755
63,6.69603e-16,0.343005
64,-3.50501e-15,0.340833
65,-5.4904e-15,0.339531
66,-4.92661e-16,0.335624
67,1.55431e-15,0.332591
68,4.16334e-16,0.326452
69,1.29063e-15,0.32324
70,-8.50882e-16,0.314561
71,3.00541e-15,0.299624
72,-2.64762e-16,0.2941
73,-1.30646e-17,0.291478
74,-8.1467e-16,0.290538
75,3.04276e-15,0.289394
76,-4.19432e-15,0.288715
77,1.06223e-15,0.285033
78,7.8557e-15,0.272085
79,-2.17838e-15,0.268163
80,1.55908e-16,0.255957
81,-1.78026e-16,0.251883
82,-3.72966e-16,0.247192
83,-1.03129e-15,0.244803
84,-2.25861e-15,0.243109
85,1.04344e-15,0.241485
86,-2.83844e-16,0.240622
87,-1.4125e-15,0.238581
88,-1.93075e-15,0.237391
89,3.04444e-16,0.23556
90,-2.83627e-15,0.227901
91,-8.8124e-16,0.21566
92,-1.80411e-16,0.194109
93,9.16801e-16,0.187308
94,6.65375e-16,0.183106
95,-5.43185e-17,0.182054
96,-1.59736e-15,0.18068
97,8.87203e-16,0.174431
98,7.92531e-16,0.163181
99,9.87222e-16,0.161658
100,1.01267e-15,0.152956
101,8.96906e-17,0.144676
102,-9.77774e-16,0.14096
103,3.32822e-15,0.139581
104,1.99148e-15,0.137792
105,-1.45242e-15,0.136438
106,2.94073e-16,0.135439
107,9.59922e-16,0.133929
108,1.56367e-15,0.130161
109,1.37318e-15,0.119525
110,1.54268e-16,0.111495
111,-3.43255e-16,0.106805
112,-9.03573e-16,0.103194
113,-4.60585e-16,0.102674
114,3.94122e-15,0.100959
115,-2.47916e-15,0.0983922
116,2.2558e-16,0.0973937
117,-1.89854e-15,0.0952731
118,-7.14009e-15,0.0922463
119,1.4591e-16,0.0869199
120,-2.13246e-16,0.0851226
121,1.95551e-15,0.0832956
122,3.87992e-17,0.0828312
123,6.08346e-16,0.0828
124,5.13649e-15,0.0817051
125,-1.34111e-15,0.0802587
126,2.05792e-15,0.0785698
127,-1.517e-15,0.075566
128,8.58824e-17,0.0715325
129,-3.54358e-16,0.0700265
130,-3.28344e-15,0.068402
131,-5.32585e-15,0.067421
132,1.96276e-16,0.0666538
133,7.84353e-17,0.0664536
134,-4.01819e-16,0.0661493
135,2.79602e-15,0.0656632
136,-9.24736e-16,0.0642737
137,9.88853e-16,0.059675
138,-3.50067e-15,0.0546412
139,-6.45371e-16,0.0541995
140,2.12388e-15,0.0536852
141,2.03372e-15,0.0528154
142,-2.00949e-15,0.0524514
143,-2.99484e-15,0.0520007
144,4.6641e-16,0.0502255
145,2.22995e-15,0.0487826
146,7.99924e-16,0.046385
147,1.27448e-15,0.0439539
148,-2.83335e-15,0.040481
149,1.29942e-16,0.0392127
150,3.21498e-15,0.0385825
151,-5.74801e-15,0.038464
152,6.01949e-16,0.0381242
153,7.09719e-16,0.0378625
154,4.81473e-15,0.0358405
155,-2.36573e-16,0.0332923
156,-5.42318e-16,0.0324186
157,1.18026e-15,0.0317557
158,-3.29337e-15,0.0312812
159,-3.68629e-16,0.0307084
160,1.06859e-15,0.0303568
161,1.45717e-15,0.0300435
162,3.03013e-15,0.0292054
163,-3.22485e-15,0.0270141
164,-8.99888e-18,0.0259755
165,2.82988e-15,0.0248573
166,1.23751e-15,0.0241723
167,3.17864e-15,0.0239842
168,-6.77925e-16,0.0238894
169,4.65123e-16,0.0237817
170,-2.57769e-15,0.0232354
171,2.95987e-17,0.0223213
172,1.7949e-15,0.0215538
173,-7.17471e-16,0.0203073
174,-2.65933e-15,0.0193752
175,1.67604e-15,0.0184814
176,-9.69277e-17,0.0181195
177,-7.42451e-15,0.0180186
178,5.75928e-16,0.0179633
179,-3.26724e-15,0.0177294
180,-1.29172e-15,0.0171682
181,9.25041e-16,0.0161556
182,-1.57697e-16,0.0157225
183,-3.02633e-15,0.015012
184,-1.03465e-15,0.0146789
185,-6.20055e-16,0.0144947
186,5.7331e-15,0.0142355
187,1.35494e-15,0.0140709
188,3.95287e-16,0.0138975
189,-1.92918e-15,0.0136468
190,-2.06697e-15,0.0132061
191,5.73287e-16,0.0127478
192,-1.25913e-15,0.0120502
193,-2.30295e-15,0.0113148
194,-1.33831e-16,0.0112852
195,1.66417e-14,0.0112366
196,-3.94885e-15,0.0109908
197,1.86329e-15,0.00987674
198,-1.70356e-15,0.00950356
199,1.93259e-16,0.00882863
200,1.40849e-15,0.00860097
201,9.09395e-15,0.00807686
202,-4.43696e-16,0.00790644
203,7.97898e-16,0.00785698
204,4.09781e-15,0.00782708
205,-5.43411e-15,0.0077517
206,5.26067e-16,0.00764705
207,6.93169e-16,0.00750946
208,-1.879e-15,0.00714006
209,1.72513e-15,0.00668991
210,-5.20603e-16,0.00654764
211,-1.38781e-15,0.00651381
212,-1.03331e-14,0.00647963
213,-6.54933e-15,0.0063554
214,2.34861e-15,0.006306
215,-5.47516e-15,0.00616808
216,-1.71719e-15,0.00564093
217,5.01233e-16,0.00540626
218,3.01589e-16,0.0053204
219,6.37461e-15,0.00522587
220,6.57878e-16,0.00520754
221,-1.47391e-15,0.00517887
222,2.00334e-15,0.00511061
223,-1.29659e-15,0.00505842
224,1.7511e-15,0.00496929
225,-6.66295e-16,0.0046823
226,3.34884e-16,0.004559
227,-5.46583e-16,0.00445897
228,1.10517e-15,0.00439769
229,4.60391e-16,0.00430596
230,-7.81592e-17,0.00428916
231,-1.01643e-15,0.00426682
232,4.57233e-15,0.00416059
233,-1.81676e-16,0.00383094
234,-1.02904e-15,0.00369766
235,-2.24378e-15,0.00366996
236,-7.86132e-16,0.00362844
237,6.78353e-16,0.00361295
238,-4.27625e-15,0.00358342
239,1.85429e-15,0.00355973
240,1.22211e-15,0.00351545
241,1.44649e-15,0.00345542
242,3.69076e-17,0.00333822
243,-6.6988e-16,0.00317954
244,4.4729e-16,0.00315728
245,-3.63093e-15,0.00309887
246,1.38601e-15,0.00307357
247,-3.1015e-17,0.00305145
248,-2.64001e-15,0.00297413
249,-1.50732e-15,0.00286328
250,-1.10336e-15,0.00266539
251,-6.31269e-16,0.00259023
252,-3.98243e-15,0.00253717
253,9.31229e-16,0.00249234
254,3.00169e-16,0.00245941
255,3.98983e-15,0.00243408
256,3.367e-15,0.00238364
257,1.78517e-15,0.00233795
258,-4.50354e-15,0.00212244
259,-9.07991e-16,0.0019774
260,-6.03511e-16,0.00194152
261,5.366e-16,0.00192252
262,2.71668e-15,0.00188938
263,2.66688e-15,0.00188469
264,-8.76555e-15,0.00187476
265,1.81464e-15,0.00186942
266,-6.98859e-15,0.00181954
267,-6.96566e-17,0.00168519
268,1.53513e-15,0.00166186
269,7.46145e-16,0.00163388
270,7.01995e-16,0.00160227
271,4.37555e-15,0.00159819
272,-3.01822e-16,0.00159354
273,7.40033e-16,0.00155988
274,-3.52848e-15,0.00147151
275,-1.51937e-16,0.00142617
276,-5.21347e-15,0.00140625
277,-1.9e-15,0.00132639
278,-3.18759e-16,0.00131083
279,-5.59813e-17,0.00130496
280,3.88425e-15,0.00126357
281,-7.06774e-16,0.00123601
282,5.68169e-16,0.00115151
283,-3.83825e-15,0.00110091
284,2.3152e-15,0.00106504
285,-8.29455e-16,0.00105008
286,-7.51055e-16,0.0010337
287,4.46987e-15,0.00102825
288,-1.05074e-15,0.00102389
289,-2.67711e-16,0.00101285
290,-1.47452e-16,0.000956754
291,-2.03704e-15,0.000863077
292,2.18795e-15,0.000849304
293,-1.6979e-15,0.000829389
294,-4.43639e-15,0.000821025
295,-6.38408e-16,0.000817708
296,3.16397e-15,0.0008136
297,-6.28744e-15,0.00077784
298,-1.00975e-16,0.000745463
299,1.82309e-15,0.000726519
300,-2.70465e-15,0.000658177
301,7.87871e-16,0.000637929
302,-5.19495e-15,0.000629736
303,1.15448e-14,0.000617824
304,4.19083e-16,0.000602907
305,1.61984e-15,0.000563067
306,-2.29969e-16,0.000544499
307,6.19816e-17,0.000530923
308,-5.69908e-15,0.000506834
309,-1.36463e-15,0.000506153
310,-3.56948e-15,0.000504822
311,2.20867e-15,0.000498344
312,1.48301e-15,0.000446839
313,-2.20826e-15,0.000375552
314,-4.61402e-15,0.000364628
315,5.65386e-16,0.000361205
316,-7.80905e-16,0.00035871
317,1.16947e-14,0.00034598
318,-8.84066e-16,0.000332406
319,4.44966e-15,0.000319512
320,1.12984e-15,0.000290139
321,-1.02882e-15,0.00026088
322,-3.81343e-15,0.000258033
323,1.14008e-15,0.000253581
324,6.27335e-15,0.000233571
325,2.70228e-15,0.000202258
326,-1.90612e-15,0.000182456
327,1.376e-16,0.000173751
328,-6.27753e-16,0.000172158
329,-1.00581e-14,0.000170031
330,-7.3337e-16,0.000160177
331,-1.54397e-15,0.000145297
332,1.55177e-16,0.00014336
333,-2.17483e-15,0.000138613
334,-2.33865e-15,0.000136803
335,-2.31593e-16,0.000134526
336,-4.50077e-16,0.000132644
337,1.54774e-15,0.000126137
338,-3.05679e-15,0.000108304
339,-2.61672e-15,0.000103084
340,-2.95304e-16,0.000102766
341,-4.17731e-15,0.000100933
342,-1.36508e-15,9.65099e-05
343,6.29701e-16,9.13603e-05
344,-1.37321e-15,8.62761e-05
345,1.95492e-15,8.15276e-05
346,-2.94616e-15,8.07095e-05
347,-1.44733e-15,7.85427e-05
348,7.53107e-16,6.67301e-05
349,-4.44137e-16,6.40568e-05
350,1.99476e-15,6.10936e-05
351,-3.73303e-15,5.81476e-05
352,2.31601e-15,5.71835e-05
353,-3.92098e-15,5.58529e-05
354,-5.49358e-16,5.36633e-05
355,-2.02574e-15,4.80587e-05
356,6.98762e-16,4.74328e-05
357,1.6254e-15,4.70082e-05
358,-7.8743e-16,4.69272e-05
359,1.31098e-15,4.65684e-05
360,-2.32275e-15,4.57504e-05
361,1.45009e-16,4.32607e-05
362,3.44701e-15,4.02951e-05
363,2.29881e-16,4.01142e-05
364,7.30838e-15,3.99914e-05
365,4.45129e-16,3.79169e-05
366,-3.42172e-15,3.49823e-05
367,-7.02621e-15,3.26827e-05
368,-1.35212e-15,3.12654e-05
369,3.80099e-15,3.05075e-05
370,-2.45435e-14,3.02375e-05
371,1.97528e-18,2.8722e-05
372,-8.0235e-16,2.68494e-05
373,-6.62966e-16,2.63844e-05
374,-1.94792e-15,2.55678e-05
375,8.05632e-16,2.53206e-05
376,-4.6749e-15,2.51425e-05
377,-1.51076e-14,2.27579e-05
378,5.03666e-16,2.08703e-05
379,1.11582e-15,2.00034e-05
380,-1.53952e-15,1.94652e-05
381,1.48383e-16,1.91821e-05
382,-1.45785e-15,1.90029e-05
383,-8.79096e-15,1.79479e-05
384,2.88632e-16,1.60996e-05
385,-4.38383e-15,1.5926e-05
386,4.51437e-15,1.54654e-05
387,-2.89473e-15,1.49461e-05
388,-2.53659e-16,1.46136e-05
389,2.35226e-15,1.37471e-05
390,1.05326e-15,1.21577e-05
391,-2.06569e-17,1.18955e-05
392,-6.90473e-16,1.17699e-05
393,4.64776e-15,1.09628e-05
394,-2.81342e-15,1.00242e-05
395,2.8907e-15,9.54256e-06
396,1.15118e-15,9.11574e-06
397,-2.25387e-15,8.99508e-06
398,-4.38621e-16,8.94667e-06
399,1.08731e-14,7.62963e-06
400,8.90589e-16,6.996e-06
401,-4.95802e-15,6.79063e-06
402,-3.96328e-15,6.5773e-06
403,-8.23725e-17,6.51223e-06
404,2.06009e-14,5.83764e-06
405,1.54855e-17,5.52155e-06
406,-6.41173e-16,5.45736e-06
407,-5.17538e-15,5.36031e-06
408,2.13235e-15,5.22204e-06
409,-4.05738e-15,4.57869e-06
410,-6.22676e-16,4.27352e-06
411,5.97081e-16,4.23039e-06
412,5.65306e-15,4.10148e-06
413,3.33018e-15,3.83879e-06
414,-1.50009e-15,3.55899e-06
415,3.10338e-15,3.02606e-06
416,-1.31919e-15,3.01007e-06
417,2.25773e-15,2.96729e-06
418,3.44241e-15,2.72429e-06
419,-7.68745e-16,2.48652e-06
420,4.09562e-15,2.13121e-06
421,1.08062e-16,2.11647e-06
422,-2.42056e-15,2.04691e-06
423,2.19108e-15,1.79105e-06
424,-2.67342e-16,1.7497e-06
425,7.6361e-15,1.72491e-06
426,-2.48048e-15,1.70081e-06
427,1.29912e-15,1.67666e-06
428,5.25211e-15,1.37386e-06
429,-7.99582e-16,1.3572e-06
430,3.83784e-15,1.3354e-06
431,-1.7993e-15,1.30066e-06
432,2.47119e-15,1.26074e-06
433,-3.73183e-15,1.12243e-06
