Iteration #,Relative Residual
1,4.52415e-05
2,4.51539e-05
3,4.49405e-05
4,4.33459e-05
5,3.25144e-05
6,1.19744e-05
7,1.04427e-05
8,5.03296e-06
9,4.54585e-06
10,4.39524e-06
11,2.23578e-06
12,2.04772e-06
13,1.61627e-06
14,1.24883e-06
15,1.14769e-06
16,1.06485e-06
17,9.10672e-07
18,7.63659e-07
19,5.87704e-07
20,5.64746e-07
21,4.6983e-07
22,4.61425e-07
23,4.48512e-07
24,3.66372e-07
25,3.5451e-07
26,2.81697e-07
27,2.40286e-07
28,1.96458e-07
29,1.92224e-07
30,1.879e-07
31,1.48598e-07
32,1.44458e-07
33,1.3117e-07
34,1.17857e-07
35,1.10955e-07
36,9.87294e-08
37,9.65552e-08
38,7.9468e-08
39,7.71299e-08
40,6.5821e-08
41,6.47428e-08
42,6.26325e-08
43,5.74126e-08
44,5.45226e-08
45,3.99152e-08
46,3.43705e-08
47,3.16859e-08
48,3.00536e-08
49,2.90961e-08
50,2.51182e-08
51,2.4354e-08
52,1.99646e-08
53,1.94443e-08
54,1.85505e-08
55,1.5974e-08
56,1.51462e-08
57,1.41618e-08
58,1.39082e-08
59,1.25452e-08
60,1.19843e-08
61,9.53665e-09
62,9.28591e-09
63,8.9318e-09
64,7.05963e-09
65,6.7775e-09
66,5.7037e-09
67,5.62623e-09
68,5.09729e-09
69,4.72927e-09
70,3.56845e-09
71,3.10212e-09
72,3.00181e-09
73,2.5684e-09
74,2.49065e-09
75,2.15513e-09
76,2.08309e-09
77,1.97445e-09
78,1.68196e-09
79,1.60796e-09
80,1.42211e-09
81,1.37174e-09
82,1.22376e-09
83,1.1926e-09
84,1.02483e-09
85,8.8728e-10
86,8.30934e-10
87,6.34022e-10
88,6.12171e-10
89,5.32969e-10
90,4.67256e-10
91,4.09542e-10
92,3.71748e-10
93,3.5414e-10
94,3.19917e-10
95,3.12107e-10
96,2.54481e-10
97,2.49912e-10
98,2.42982e-10
99,2.18122e-10
100,1.86361e-10
