Iteration #,Relative Residual
1,2.31077e-05
2,2.30938e-05
3,2.2277e-05
4,1.38977e-05
5,4.60035e-06
6,4.48306e-06
7,3.34089e-06
8,2.52083e-06
9,2.0713e-06
10,1.83048e-06
11,1.82724e-06
12,1.78707e-06
13,1.27032e-06
14,1.17305e-06
15,1.04328e-06
16,1.03317e-06
17,9.83623e-07
18,6.83693e-07
19,6.79295e-07
20,6.61086e-07
21,6.59436e-07
22,6.5864e-07
23,6.24082e-07
24,6.03972e-07
25,5.51544e-07
26,5.48681e-07
27,5.47684e-07
28,4.93924e-07
29,4.8669e-07
30,4.65004e-07
31,4.62775e-07
32,4.62339e-07
33,4.41047e-07
34,4.28951e-07
35,4.23418e-07
36,4.22854e-07
37,4.2184e-07
38,4.06594e-07
39,4.02922e-07
40,4.02552e-07
41,4.0229e-07
42,4.02166e-07
43,3.92938e-07
44,3.90419e-07
45,3.83796e-07
46,3.82998e-07
47,3.82588e-07
48,3.64811e-07
49,3.63952e-07
50,3.59018e-07
51,3.58531e-07
52,3.56409e-07
53,3.48119e-07
54,3.45234e-07
55,3.42625e-07
56,3.42142e-07
57,3.37457e-07
58,3.36278e-07
59,3.36051e-07
60,3.32903e-07
61,3.32752e-07
62,3.32705e-07
63,3.28688e-07
64,3.25551e-07
65,3.20047e-07
66,3.18279e-07
67,3.12613e-07
68,3.04445e-07
69,3.03475e-07
70,2.90196e-07
71,2.89587e-07
72,2.89504e-07
73,2.77734e-07
74,2.72712e-07
75,2.69847e-07
76,2.6899e-07
77,2.66745e-07
78,2.62422e-07
79,2.61495e-07
80,2.60871e-07
81,2.60839e-07
82,2.60831e-07
83,2.59962e-07
84,2.57373e-07
85,2.53019e-07
86,2.47432e-07
87,2.44975e-07
88,2.32225e-07
89,2.25235e-07
90,1.91243e-07
91,1.87201e-07
92,1.87191e-07
93,1.69486e-07
94,1.57073e-07
95,1.52944e-07
96,1.52671e-07
97,1.5267e-07
98,1.50184e-07
99,1.49667e-07
100,1.49363e-07
101,1.49358e-07
102,1.49353e-07
103,1.45963e-07
104,1.44662e-07
105,1.43255e-07
106,1.4167e-07
107,1.40056e-07
108,7.69036e-08
109,5.14745e-08
110,4.58148e-08
111,4.35207e-08
112,4.04141e-08
113,3.87879e-08
114,3.62858e-08
115,3.0662e-08
116,3.04177e-08
117,2.97961e-08
118,2.88756e-08
119,2.73021e-08
120,2.64657e-08
121,2.64623e-08
122,2.64569e-08
123,2.52023e-08
124,2.515e-08
125,2.50819e-08
126,2.48532e-08
127,2.46102e-08
128,2.41598e-08
129,2.41471e-08
130,2.40937e-08
131,2.40931e-08
132,2.40913e-08
133,2.39576e-08
134,2.38715e-08
135,2.36649e-08
136,2.36576e-08
137,2.3632e-08
138,2.31405e-08
139,2.30119e-08
140,2.28118e-08
141,2.28097e-08
142,2.28058e-08
143,2.23801e-08
144,2.22253e-08
145,2.21807e-08
146,2.21148e-08
147,2.20136e-08
148,2.11476e-08
149,2.10337e-08
150,2.09067e-08
151,2.08898e-08
152,2.08824e-08
153,2.00867e-08
154,1.99966e-08
155,1.98316e-08
156,1.98129e-08
157,1.97893e-08
158,1.93201e-08
159,1.92964e-08
160,1.9288e-08
161,1.92872e-08
162,1.92835e-08
163,1.89928e-08
164,1.88823e-08
165,1.8811e-08
166,1.87362e-08
167,1.8712e-08
168,1.79962e-08
169,1.78672e-08
170,1.77279e-08
171,1.7709e-08
172,1.77042e-08
173,1.70402e-08
174,1.69229e-08
175,1.67953e-08
176,1.67725e-08
177,1.67477e-08
178,1.63375e-08
179,1.63374e-08
180,1.63163e-08
181,1.63126e-08
182,1.63118e-08
183,1.60652e-08
184,1.59268e-08
185,1.58636e-08
186,1.58491e-08
187,1.5752e-08
188,1.49544e-08
189,1.49235e-08
190,1.48617e-08
191,1.48473e-08
192,1.48327e-08
193,1.41911e-08
194,1.41154e-08
195,1.40006e-08
196,1.39875e-08
197,1.39766e-08
198,1.36529e-08
199,1.36527e-08
200,1.3575e-08
201,1.35641e-08
202,1.35539e-08
203,1.34479e-08
204,1.3391e-08
205,1.31553e-08
206,1.31519e-08
207,1.31469e-08
208,1.28152e-08
209,1.26746e-08
210,1.22192e-08
211,1.22164e-08
212,1.21936e-08
213,1.16655e-08
214,1.15261e-08
215,1.1394e-08
216,1.1394e-08
217,1.13747e-08
218,1.11668e-08
219,1.11391e-08
220,1.10522e-08
221,1.1052e-08
222,1.1039e-08
223,1.09403e-08
224,1.08737e-08
225,1.07315e-08
226,1.07291e-08
227,1.0721e-08
228,1.0462e-08
229,1.02851e-08
230,9.86742e-09
