Iteration #,Relative Residual
1,0.995122
2,0.994862
3,0.993635
4,0.968119
5,0.943395
6,0.903534
7,0.878083
8,0.863346
9,0.830016
10,0.828582
11,0.828505
12,0.828322
13,0.828293
14,0.825622
15,0.824587
16,0.813875
17,0.808481
18,0.796653
19,0.790471
20,0.783871
21,0.783642
22,0.783362
23,0.782656
24,0.779975
25,0.778459
26,0.769096
27,0.768407
28,0.76832
29,0.767685
30,0.764717
31,0.764563
32,0.764525
33,0.764438
34,0.764419
35,0.763862
36,0.750415
37,0.746018
38,0.74548
39,0.738819
40,0.717403
41,0.716678
42,0.715547
43,0.712543
44,0.707974
45,0.704499
46,0.696971
47,0.694909
48,0.694503
49,0.693759
50,0.692343
51,0.692328
52,0.692306
53,0.692252
54,0.692001
55,0.691717
56,0.689734
57,0.687158
58,0.686149
59,0.684481
60,0.681511
61,0.681362
62,0.68109
63,0.679902
64,0.677433
65,0.67601
66,0.672443
67,0.669622
68,0.669111
69,0.668638
70,0.668496
71,0.668493
72,0.668484
73,0.668367
74,0.667933
75,0.667473
76,0.663907
77,0.661127
78,0.660957
79,0.660955
80,0.660361
81,0.660346
82,0.660325
83,0.660305
84,0.660305
85,0.660162
86,0.657904
87,0.654641
88,0.653844
89,0.652327
90,0.65082
91,0.650794
92,0.650742
93,0.650523
94,0.64979
95,0.649038
96,0.64427
97,0.642074
98,0.641954
99,0.641954
100,0.641893
101,0.641892
102,0.641891
103,0.641888
104,0.641791
105,0.641637
106,0.640341
107,0.638598
108,0.638076
109,0.636857
110,0.633168
111,0.6331
112,0.632955
113,0.632401
114,0.631287
115,0.629745
116,0.624609
117,0.623064
118,0.623021
119,0.623
120,0.622721
121,0.622719
122,0.622716
123,0.622716
124,0.622703
125,0.622619
126,0.621816
127,0.620572
128,0.620249
129,0.619077
130,0.61681
131,0.616777
132,0.616696
133,0.616302
134,0.615369
135,0.614114
136,0.608341
137,0.605582
138,0.605447
139,0.605445
140,0.605388
141,0.605387
142,0.605387
143,0.605387
144,0.605332
145,0.605149
146,0.604517
147,0.604141
148,0.603894
149,0.603292
150,0.602171
151,0.602157
152,0.602123
153,0.601956
154,0.601702
155,0.601312
156,0.599602
157,0.59844
158,0.59802
159,0.597153
160,0.595927
161,0.595896
162,0.595825
163,0.595486
164,0.594983
165,0.594271
166,0.590803
167,0.58818
168,0.587539
169,0.586734
170,0.586429
171,0.586425
172,0.586413
173,0.586317
174,0.586097
175,0.585661
176,0.58354
177,0.582605
178,0.582562
179,0.582561
180,0.582503
181,0.582502
182,0.582501
183,0.582501
184,0.582484
185,0.582398
186,0.581105
187,0.575015
188,0.571675
189,0.566231
190,0.543291
191,0.54069
192,0.537753
193,0.532589
194,0.52857
195,0.523489
196,0.519152
197,0.518892
198,0.518887
199,0.518885
200,0.518744
201,0.518736
202,0.518731
203,0.518712
204,0.518703
205,0.518536
206,0.516433
207,0.515195
208,0.515195
209,0.514947
210,0.514618
211,0.514598
212,0.51456
213,0.514544
214,0.514511
215,0.514293
216,0.512092
217,0.511602
218,0.511279
219,0.509692
220,0.508958
221,0.508936
222,0.508896
223,0.508846
224,0.508601
225,0.50796
226,0.505042
227,0.505012
228,0.505007
229,0.505007
230,0.502855
231,0.502816
232,0.502793
233,0.502765
234,0.502763
235,0.502709
236,0.501824
237,0.500346
238,0.499889
239,0.499051
240,0.49518
241,0.495012
242,0.494808
243,0.494662
244,0.494163
245,0.493052
246,0.490007
247,0.489867
248,0.48985
249,0.489834
250,0.489833
251,0.489833
252,0.489833
253,0.489831
254,0.489824
255,0.489765
256,0.48718
257,0.484124
258,0.481315
259,0.475868
